Domain,Lesson,Subtopic,Question,Answer,Type
1,1,Cybersecurity and Phishing,What is cybersecurity?,The act or series of acts one takes to prevent the unauthorized use of electronic data.,Definition
1,1,Cybersecurity and Phishing,What is phishing?,A method of coercion used to attempt to get people to give up personal information via email website or text message.,Definition
1,1,Cybersecurity and Phishing,Give an example of phishing,Receiving an email that appears to be from a bank asking for account verification.,Example
1,1,Cybersecurity and Phishing,How can users protect themselves against phishing?,Verify sender addresses check for misspellings hover over links before clicking and never provide personal information via email.,Best Practice
1,2,Reviewing Emails and Attachments,Determine whether the email is suspicious,"The email contains a correctly spelled subject line - NOT suspicious; From a known free email account - May be suspicious; Body contains misspellings and unusual spacing - Suspicious",Analysis
1,2,Reviewing Emails and Attachments,What should users check before selecting a link received in an email?,Hover over the link to see the actual URL before clicking.,Best Practice
1,2,Reviewing Emails and Attachments,What is a best practice when it comes to opening attachments from emails?,Only open attachments from trusted sources and verify the sender.,Best Practice
1,2,Reviewing Emails and Attachments,Why should users be wary of files containing macros?,Macros can contain malicious code that executes when the file is opened.,Security Risk
1,2,Reviewing Emails and Attachments,Why should users be wary of zip files?,Zip files can contain hidden malware that extracts when unzipped.,Security Risk
1,2,Reviewing Emails and Attachments,Why should users be wary of executable files?,Executable files (.exe) can install malware directly on the system.,Security Risk
1,2,Reviewing Emails and Attachments,.rar file extension,Probably safe but should be scanned,File Safety
1,2,Reviewing Emails and Attachments,.xlsx file extension,Probably safe,File Safety
1,2,Reviewing Emails and Attachments,.docm file extension,Be wary - contains macros,File Safety
1,2,Reviewing Emails and Attachments,.exe file extension,Be wary - executable file,File Safety
1,3,Common Attacks,Spear phishing,A targeted attack against a specific person or group to gain compromising information,Attack Type
1,3,Common Attacks,Whaling,An attempt to get information from high-profile people such as a CEO or celebrity,Attack Type
1,3,Common Attacks,Vishing,An attempt to get information from someone via a phone call or voicemail,Attack Type
1,3,Common Attacks,Smishing,An attempt to get information from someone via a text message,Attack Type
1,3,Common Attacks,Pig butchering,An attacker entices a user to invest money with the promise of a huge return,Attack Type
2,1,Digital Footprints,What is a digital footprint?,A person's overall information stored on computers and servers throughout the world.,Definition
2,1,Digital Footprints,Why should users not have the same username and password for multiple websites?,If one account is compromised all accounts become vulnerable.,Risk
2,1,Digital Footprints,What information can be included in the metadata of an image?,Date/time taken camera model GPS coordinates and device information.,Metadata
